"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,          47,      -5.172634959,      -3.037297055,       -3.17703146,      -3.306388065,     -0.4136492275,      -2.323069067,    -0.04139149226,   7.963934952e-11,   8.870133068e-05,                 1,                 1,                 1
          0,           0,          48,      -5.172581453,      -3.034902601,      -3.172820787,      -3.301026155,     -0.4095919944,      -2.323006969,    -0.04164633608,   7.963899076e-11,   8.870132166e-05,                 1,                 1,                 1
          0,           0,          49,       -5.17252144,      -3.033142342,      -3.168984414,      -3.296636993,     -0.4055205973,      -2.322934903,    -0.04189936585,   7.963863209e-11,   8.870131264e-05,                 1,                 1,                 1
          0,           0,          50,      -5.172424238,      -3.031840081,      -3.165419973,      -3.292932236,     -0.4006376029,      -2.322855542,    -0.04218477305,   7.963827353e-11,   8.870130362e-05,                 1,                 1,                 1
          0,           0,          51,      -5.172347705,      -3.030454114,      -3.161737444,      -3.288883705,     -0.3965066893,      -2.322771458,    -0.04232894498,   7.963791507e-11,   8.870129459e-05,                 1,                 1,                 1
          0,           0,          52,      -5.172255839,      -3.029286086,      -3.158279695,      -3.285149359,     -0.3921576306,      -2.322685311,    -0.04247372067,    7.96375567e-11,   8.870128556e-05,                 1,                 1,                 1
          0,           0,          53,        -5.1721265,      -3.028266737,      -3.154959057,      -3.281611517,     -0.3870210256,      -2.322599031,    -0.04263234332,   7.963719844e-11,   8.870127653e-05,                 1,                 1,                 1
          0,           0,          54,       -5.17198707,      -3.027280874,      -3.154387332,      -3.279287198,     -0.3818132271,       -2.32251385,    -0.04276774804,   7.963684028e-11,    8.87012675e-05,                 1,                 1,                 1
          0,           0,          55,      -5.171872547,       -3.02622992,      -3.154762305,      -3.277226221,     -0.3775030544,      -2.322430647,    -0.04282914304,   7.963648223e-11,   8.870125848e-05,                 1,                 1,                 1
          0,           0,          56,      -5.171743947,      -3.025304229,      -3.154943231,      -3.275069164,     -0.3731396678,      -2.322350955,    -0.04291168346,   7.963612428e-11,   8.870124946e-05,                 1,                 1,                 1
          0,           0,          57,      -5.171658018,      -3.024495345,        -3.1549058,      -3.272900561,     -0.3698552116,      -2.322276409,    -0.04296245079,   7.963576644e-11,   8.870124044e-05,                 1,                 1,                 1
          0,           0,          58,       -5.17173425,      -3.023498713,      -3.154674353,       -3.27024317,     -0.3702024372,      -2.322206778,    -0.04298129012,   7.963540871e-11,   8.870123143e-05,                 1,                 1,                 1
          0,           0,          59,         -5.171866,      -3.022734054,      -3.154357575,      -3.267634367,     -0.3717210168,      -2.322142715,    -0.04301269284,   7.963505109e-11,   8.870122243e-05,                 1,                 1,                 1
          0,           0,          60,      -5.171989066,      -3.022218187,      -3.153992354,      -3.265223055,     -0.3729555304,      -2.322085046,    -0.04306441829,   7.963469358e-11,   8.870121343e-05,                 1,                 1,                 1
          0,           0,          61,       -5.17210863,      -3.021729611,      -3.153381144,      -3.262612886,     -0.3739871884,       -2.32203467,    -0.04314189287,   7.963433618e-11,   8.870120444e-05,                 1,                 1,                 1
          0,           0,          62,      -5.172161453,      -3.021889333,      -3.153122106,      -3.261161149,     -0.3733190306,      -2.321992397,    -0.04315965904,    7.96339789e-11,   8.870119546e-05,                 1,                 1,                 1
          0,           0,          63,      -5.172183781,      -3.022474962,      -3.153100044,      -3.260581463,     -0.3717770596,      -2.321958738,    -0.04312734109,   7.963362173e-11,   8.870118648e-05,                 1,                 1,                 1
          0,           0,          64,      -5.172223184,      -3.022950055,      -3.152877192,      -3.259929756,     -0.3705388969,       -2.32193401,    -0.04307017336,   7.963326467e-11,   8.870117751e-05,                 1,                 1,                 1
          0,           0,          65,      -5.172279384,      -3.023312446,      -3.152646169,       -3.25954997,     -0.3695429301,       -2.32191814,    -0.04305281616,   7.963290774e-11,   8.870116855e-05,                 1,                 1,                 1
          0,           0,          66,      -5.172339981,       -3.02367804,      -3.152364571,      -3.259285958,     -0.3685322695,      -2.321910771,    -0.04301228942,   7.963255092e-11,   8.870115958e-05,                 1,                 1,                 1
          0,           0,          67,      -5.172412441,      -3.024099565,      -3.152059696,      -3.259256404,     -0.3677097595,      -2.321911112,    -0.04295530025,   7.963219423e-11,   8.870115062e-05,                 1,                 1,                 1
          0,           0,          68,      -5.172515201,      -3.024534021,      -3.151697343,      -3.259326155,     -0.3674974029,       -2.32191817,    -0.04291075985,   7.963183765e-11,   8.870114167e-05,                 1,                 1,                 1
          0,           0,          69,       -5.17262052,      -3.024901998,      -3.151297594,      -3.259552345,     -0.3674295878,      -2.321930765,    -0.04290738791,    7.96314812e-11,   8.870113271e-05,                 1,                 1,                 1
          0,           0,          70,      -5.172729812,      -3.025098783,      -3.150835489,      -3.259905081,      -0.367730779,      -2.321947705,    -0.04292736974,   7.963112487e-11,   8.870112376e-05,                 1,                 1,                 1
