"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,          50,      -5.627526551,      -3.224065054,      -3.619317499,      -3.591049049,     -0.8906718355,      -2.894862663,       0.160983475,   1.199080208e-10,   8.871743779e-05,                 1,                 1,                 1
          0,           0,          51,      -5.627581987,      -3.224348517,      -3.619581888,      -3.591322357,     -0.8940335424,      -2.894726454,      0.1604792638,   1.199125256e-10,   8.871746975e-05,                 1,                 1,                 1
          0,           0,          52,      -5.627577817,      -3.224769389,      -3.620259725,      -3.592072203,     -0.8955716582,      -2.894589994,      0.1600965813,   1.199170283e-10,   8.871750168e-05,                 1,                 1,                 1
          0,           0,          53,      -5.627521762,      -3.225204354,       -3.62097328,      -3.592721111,     -0.8954680565,      -2.894453022,      0.1597185695,   1.199215289e-10,   8.871753359e-05,                 1,                 1,                 1
          0,           0,          54,       -5.62744967,      -3.225564005,       -3.62146576,      -3.593314401,     -0.8948277612,      -2.894315758,      0.1594323601,   1.199260274e-10,   8.871756549e-05,                 1,                 1,                 1
          0,           0,          55,       -5.62737072,      -3.226024702,      -3.622145411,      -3.594131919,      -0.893951745,      -2.894178364,      0.1591862229,   1.199305239e-10,   8.871759736e-05,                 1,                 1,                 1
          0,           0,          56,      -5.627300785,      -3.225609436,      -3.620674057,      -3.591583786,     -0.8933588191,      -2.894040786,      0.1589786028,   1.199350184e-10,   8.871762921e-05,                 1,                 1,                 1
          0,           0,          57,      -5.627262334,      -3.226030114,      -3.621324397,      -3.592352369,     -0.8937476772,      -2.893902971,      0.1586561429,    1.19939511e-10,   8.871766104e-05,                 1,                 1,                 1
          0,           0,          58,      -5.627213703,       -3.22643428,      -3.622031735,      -3.593104597,     -0.8938887118,      -2.893765029,      0.1583151076,   1.199440016e-10,   8.871769285e-05,                 1,                 1,                 1
          0,           0,          59,      -5.627173472,      -3.226851304,      -3.622797219,      -3.593903443,     -0.8943357161,      -2.893626828,      0.1580054593,   1.199484904e-10,   8.871772464e-05,                 1,                 1,                 1
          0,           0,          60,      -5.627147153,      -3.226253249,      -3.618502497,      -3.591682133,     -0.8952947512,      -2.893488525,      0.1577147002,   1.199529773e-10,   8.871775641e-05,                 1,                 1,                 1
          0,           0,          61,      -5.627154009,       -3.22626548,      -3.618886612,      -3.590968023,     -0.8973161216,      -2.893350035,      0.1573858398,   1.199574625e-10,   8.871778816e-05,                 1,                 1,                 1
          0,           0,          62,      -5.627127165,      -3.227490992,      -3.623512988,       -3.59437631,     -0.8984121874,      -2.893211488,      0.1569513636,   1.199619459e-10,   8.871781989e-05,                 1,                 1,                 1
          0,           0,          63,      -5.627120185,       -3.22789395,       -3.62413985,      -3.594995533,     -0.9001787216,      -2.893073007,      0.1565243128,   1.199664275e-10,    8.87178516e-05,                 1,                 1,                 1
          0,           0,          64,      -5.627069078,      -3.228298273,      -3.624651275,      -3.595446463,     -0.9006174077,        -2.8929346,      0.1559825466,   1.199709076e-10,   8.871788328e-05,                 1,                 1,                 1
          0,           0,          65,      -5.626991515,      -3.228732255,      -3.625207852,      -3.596030162,     -0.9002752358,      -2.892796175,      0.1554110855,    1.19975386e-10,   8.871791494e-05,                 1,                 1,                 1
          0,           0,          66,      -5.626900135,       -3.22932225,      -3.626135812,      -3.597281758,      -0.899544064,      -2.892657626,      0.1548191901,   1.199798629e-10,   8.871794658e-05,                 1,                 1,                 1
          0,           0,          67,      -5.626834427,      -3.228898831,      -3.624534874,      -3.594705974,     -0.8997520007,      -2.892519033,      0.1542218889,   1.199843384e-10,   8.871797819e-05,                 1,                 1,                 1
          0,           0,          68,      -5.626797851,      -3.229285962,      -3.625056075,      -3.595375642,     -0.9009831004,      -2.892380468,      0.1536490964,   1.199888125e-10,   8.871800978e-05,                 1,                 1,                 1
          0,           0,          69,      -5.626730104,      -3.229684674,      -3.625701536,      -3.596140625,     -0.9012978263,      -2.892242022,      0.1530222909,   1.199932852e-10,   8.871804133e-05,                 1,                 1,                 1
          0,           0,          70,      -5.626637913,      -3.230076072,      -3.626426386,      -3.596914978,     -0.9009189142,      -2.892103569,      0.1617694272,   1.199977567e-10,   8.871807286e-05,                 1,                 1,                 1
          0,           0,          71,      -5.626536985,      -3.230726174,      -3.627884933,      -3.598750502,     -0.9003334001,      -2.891965274,      0.1631842034,    1.20002227e-10,   8.871810436e-05,                 1,                 1,                 1
          0,           0,          72,      -5.626471903,      -3.230534674,       -3.62719927,      -3.597365991,     -0.9009354648,      -2.891827096,       0.162232408,   1.200066963e-10,   8.871813583e-05,                 1,                 1,                 1
          0,           0,          73,      -5.626422741,      -3.230856988,      -3.627675944,      -3.597839232,     -0.9020781504,      -2.891689081,      0.1569103109,   1.200111645e-10,   8.871816728e-05,                 1,                 1,                 1
          0,           0,          74,      -5.626356925,      -3.231213942,      -3.628237119,      -3.598342266,     -0.9026479167,      -2.891551202,      0.1537071652,   1.200156319e-10,   8.871819869e-05,                 1,                 1,                 1
          0,           0,          75,      -5.626288001,      -3.231636382,      -3.628936007,      -3.599016525,     -0.9031098176,      -2.891413509,      0.1516145284,   1.200200985e-10,   8.871823007e-05,                 1,                 1,                 1
          0,           0,          76,      -5.626246371,      -3.232038258,      -3.629527773,      -3.599555846,     -0.9044439331,      -2.891275914,      0.1693536615,   1.200245643e-10,   8.871826143e-05,                 1,                 1,                 1
          0,           0,          77,      -5.626225998,      -3.232520743,      -3.630218969,      -3.600476566,     -0.9064535756,      -2.891138366,      0.1652126708,   1.200290296e-10,   8.871829276e-05,                 1,                 1,                 1
          0,           0,          78,      -5.626210326,      -3.232068184,      -3.628543531,      -3.597796331,     -0.9085508539,      -2.891000948,      0.1573221626,   1.200334943e-10,   8.871832407e-05,                 1,                 1,                 1
          0,           0,          79,      -5.626186985,      -3.232490717,      -3.629021737,      -3.598475671,      -0.910321876,      -2.890863608,      0.1625244286,   1.200379587e-10,   8.871835534e-05,                 1,                 1,                 1
          0,           0,          80,      -5.626108394,      -3.231680292,      -3.623803658,      -3.595147781,     -0.9101942041,      -2.890726482,      0.1566959807,   1.200424228e-10,    8.87183866e-05,                 1,                 1,                 1
          0,           0,          81,      -5.625999684,      -3.232368371,      -3.625588945,       -3.59662081,      -0.908991759,      -2.890589604,      0.1518655822,   1.200468867e-10,   8.871841783e-05,                 1,                 1,                 1
